"STUID","State","District","Gender","Age","Category","Same.language","Siblings","Handicap","Father.edu","Mother.edu","Father.occupation","Mother.occupation","Below.poverty","Use.calculator","Use.computer","Use.Internet","Use.dictionary","Read.other.books","X..Books","Distance","Computer.use","Library.use","Like.school","Subjects","Give.Lang.HW","Give.Math.HW","Give.Scie.HW","Give.SoSc.HW","Correct.Lang.HW","Correct.Math.HW","Correct.Scie.HW","Correct.SocS.HW","Help.in.Study","Private.tuition","English.is.difficult","Read.English","Dictionary.to.learn","Answer.English.WB","Answer.English.aloud","Maths.is.difficult","Solve.Maths","Solve.Maths.in.groups","Draw.geometry","Explain.answers","SocSci.is.difficult","Historical.excursions","Participate.in.SocSci","Small.groups.in.SocSci","Express.SocSci.views","Science.is.difficult","Observe.experiments","Conduct.experiments","Solve.science.problems","Express.science.views","Watch.TV","Read.magazine","Read.a.book","Play.games","Help.in.household","Maths..","Reading..","Science..","Social.."
26011001001,"Maharashtra",1,"Girl","13 years",3,2,"1 sibling","No","Illiterate","Illiterate","Farmer","Farmer","Yes","","","","","No","","Up to 1 km","Once in a week","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Agree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Once a month","Once a week","Every day",NA,33.33,NA,NA
26011001002,"Maharashtra",1,"Girl","15 years",3,2,"3 siblings","No","","Illiterate","Farmer","Farmer","Yes","","","","","No","","Up to 1 km","Once in a week","Never use","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Once a week","Never","Never","Once a week","Every day",NA,62.07,NA,NA
26011001003,"Maharashtra",1,"Girl","14 years",3,2,"3 siblings","No","Degree & above","Illiterate","Farmer","Farmer","No","","","","","No","","Up to 1 km","Once in a week","Once or twice in a month","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Every day","Once a month","Once a month","Once a week","Every day",NA,41.38,NA,NA
26011001004,"Maharashtra",1,"Boy","13 years",3,2,"3 siblings","No","Secondary","Secondary","Farmer","Farmer","No","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once in a week","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Every day","Every day","Never","Every day","Every day",29.82,NA,NA,NA
26011001005,"Maharashtra",1,"Girl","14 years",3,2,"2 siblings","No","Primary","Illiterate","Farmer","Farmer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Never use","Yes","Mathematics","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","3-4 times a week","3-4 times a week","3-4 times a week","Yes","Yes","Disagree","No","Disagree","Agree","Agree","Disagree","Neither","Agree","Neither","Agree","Agree","Neither","Disagree","Neither","Neither","Disagree","Agree","Agree","Disagree","Neither","Never","Never","Once a month","Once a week","Every day",NA,NA,27.27,NA
26011001006,"Maharashtra",1,"Girl","13 years",3,2,"2 siblings","No","Primary","Illiterate","Farmer","Farmer","Yes","","","","","No","","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Neither","Agree","Neither","Agree","Agree","Agree","Neither","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Every day","Once a week","Once a month","Once a week","Every day",NA,NA,27.27,NA
26011001007,"Maharashtra",1,"Girl","14 years",1,2,"1 sibling","No","","Illiterate","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","Yes","Agree","No","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Every day","Every day","Never","Every day","Every day",NA,NA,NA,28.57
26011001013,"Maharashtra",1,"Girl","",1,2,"4+ siblings","No","Sr secondary","Illiterate","Labourer","Labourer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Agree","Disagree","Neither","Neither","Neither","Disagree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Disagree","Neither","Every day","Never","Never","Once a week","Every day",NA,NA,18.18,NA
26011001014,"Maharashtra",1,"Girl","",2,2,"2 siblings","No","Primary","Illiterate","Farmer","Farmer","Yes","","","","","Yes","1-10 books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","No","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Agree","Every day","Never","Never","Once a month","Every day",NA,NA,23.64,NA
26011001015,"Maharashtra",1,"Girl","13 years",4,2,"4+ siblings","No","Secondary","Illiterate","Labourer","Labourer","No","","","","","No","No books","Up to 1 km","Once in a week","Once or twice in a month","Yes","Science","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","1-2 times a week","Yes","No","Disagree","No","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neither","Disagree","Agree","Agree","Agree","Neither","Every day","Never","Never","Once a week","Every day",NA,NA,NA,26.53
